1	21	3	500	2018-02-23	delivered
1	22	1	300	2018-02-23	delivered
1	23	2	300	2018-02-23	delivered
1	24	1	500	2018-03-23	delivered
1	25	2	300	2018-03-23	delivered
1	26	3	300	2018-03-23	delivered
1	27	1	400	2018-04-23	delivered
1	28	2	200	2018-04-23	delivered
1	29	3	200	2018-04-23	delivered
1	30	1	200	2018-05-23	canceled
1	31	2	50	2018-05-23	canceled
1	32	3	50	2018-05-23	canceled
2	33	1	100	2017-10-16	delivered
2	34	2	100	2017-10-16	delivered
2	35	3	200	2017-10-16	delivered
2	36	4	50	2017-10-16	delivered
2	37	5	50	2017-10-16	delivered
2	38	6	50	2017-10-16	delivered
2	39	7	50	2017-10-16	delivered
2	40	8	50	2017-10-16	delivered
2	41	1	200	2018-04-16	delivered
2	42	2	200	2018-04-16	delivered
2	44	8	200	2018-04-16	delivered
3	45	1	100	2018-05-01	delivered
3	54	1	200	2018-06-01	canceled
3	55	2	200	2018-06-01	canceled
3	56	3	100	2018-06-01	canceled
4	57	1	200	2018-05-01	delivered
4	58	2	200	2018-05-01	delivered
4	59	3	200	2018-05-01	delivered
4	60	1	200	2018-06-01	delivered
4	61	2	200	2018-06-01	delivered
4	62	1	100	2018-07-01	delivered
4	63	2	100	2018-07-01	delivered
4	64	3	100	2018-08-01	canceled
4	65	3	100	2018-08-01	delivered
5	66	4	200	2017-11-01	delivered
5	67	5	200	2017-11-01	delivered
5	68	4	200	2017-12-01	delivered
5	69	5	200	2017-12-02	delivered
5	70	4	200	2018-01-01	delivered
5	71	5	100	2018-01-01	delivered
5	72	4	100	2018-02-01	delivered
5	73	5	100	2018-02-02	delivered
6	74	1	200	2017-07-21	delivered
14	111	100	0	1999-01-21	error
6	75	2	200	2017-07-21	delivered
6	76	3	300	2017-07-21	delivered
6	77	4	100	2017-07-21	delivered
6	78	5	100	2017-07-21	delivered
6	79	6	50	2017-07-21	delivered
6	80	7	50	2017-07-21	delivered
6	81	8	1000	2017-07-21	delivered
